"Local
Time",B
01/07/17 00:10,59.4
01/07/17 00:20,59.1
01/07/17 00:30,60.7
01/07/17 00:40,62.2
01/07/17 00:50,64.5
01/07/17 01:00,66.4
01/07/17 01:10,63.2
01/07/17 01:20,58.4
01/07/17 01:30,54.9
01/07/17 01:40,53.8
01/07/17 01:50,52.4
01/07/17 02:00,52.3
01/07/17 02:10,52.8
01/07/17 02:20,51.6
01/07/17 02:30,53.4
01/07/17 02:40,51.1
01/07/17 02:50,51.3
01/07/17 03:00,52.9
01/07/17 03:10,53.7
01/07/17 03:20,53.3
01/07/17 03:30,54.6
01/07/17 03:40,55.5
01/07/17 03:50,55.8
01/07/17 04:00,53.9
01/07/17 04:10,54.6
01/07/17 04:20,57.3
01/07/17 04:30,59.2
01/07/17 04:40,59.9
01/07/17 04:50,61.8
01/07/17 05:00,61.4
01/07/17 05:10,60.1
01/07/17 05:20,58.2
01/07/17 05:30,56.3
01/07/17 05:40,54.4
01/07/17 05:50,53.7
01/07/17 06:00,57
01/07/17 06:10,58.9
01/07/17 06:20,61.1
01/07/17 06:30,62.7
01/07/17 06:40,64.1
01/07/17 06:50,63.8
01/07/17 07:00,63.5
01/07/17 07:10,62.3
01/07/17 07:20,59.3
01/07/17 07:30,56.9
01/07/17 07:40,55.2
01/07/17 07:50,56.9
01/07/17 08:00,59
01/07/17 08:10,60.4
01/07/17 08:20,60.2
01/07/17 08:30,61.4
01/07/17 08:40,62.7
01/07/17 08:50,62.7
01/07/17 09:00,61.1
01/07/17 09:10,60.3
01/07/17 09:20,63.8
01/07/17 09:30,64.2
01/07/17 09:40,62.1
01/07/17 09:50,63.6
01/07/17 10:00,62.7
01/07/17 10:10,60.4
01/07/17 10:20,59.5
01/07/17 10:30,59.8
01/07/17 10:40,62.7
01/07/17 10:50,65.4
01/07/17 11:00,62.6
01/07/17 11:10,59.7
01/07/17 11:20,62.8
01/07/17 11:30,65.5
01/07/17 11:40,64
01/07/17 11:50,62.1
01/07/17 12:00,60.4
01/07/17 12:10,58.6
01/07/17 12:20,56.5
01/07/17 12:30,57.9
01/07/17 12:40,61.7
01/07/17 12:50,62.5
01/07/17 13:00,61.7
01/07/17 13:10,62
01/07/17 13:20,64.2
01/07/17 13:30,66
01/07/17 13:40,65.2
01/07/17 13:50,66.8
01/07/17 14:00,69.9
01/07/17 14:10,70.8
01/07/17 14:20,69.4
01/07/17 14:30,66.7
01/07/17 14:40,67.6
01/07/17 14:50,69.3
01/07/17 15:00,68
01/07/17 15:10,67.1
01/07/17 15:20,69
01/07/17 15:30,71.7
01/07/17 15:40,70.3
01/07/17 15:50,67.4
01/07/17 16:00,68.5
01/07/17 16:10,65.4
01/07/17 16:20,61.7
01/07/17 16:30,60.2
01/07/17 16:40,59.2
01/07/17 16:50,57.1
01/07/17 17:00,56.6
01/07/17 17:10,54.7
01/07/17 17:20,54.5
01/07/17 17:30,55.7
01/07/17 17:40,56.5
01/07/17 17:50,58
01/07/17 18:00,59.8
01/07/17 18:10,60.2
01/07/17 18:20,61.2
01/07/17 18:30,59.8
01/07/17 18:40,58.3
01/07/17 18:50,57.5
01/07/17 19:00,57.1
01/07/17 19:10,57.1
01/07/17 19:20,54.7
01/07/17 19:30,52.4
01/07/17 19:40,51.8
01/07/17 19:50,52.3
01/07/17 20:00,52.5
01/07/17 20:10,51.2
01/07/17 20:20,49.6
01/07/17 20:30,47
01/07/17 20:40,45.5
01/07/17 20:50,44.7
01/07/17 21:00,45.3
01/07/17 21:10,46.5
01/07/17 21:20,47.2
01/07/17 21:30,50.1
01/07/17 21:40,49.8
01/07/17 21:50,46.6
01/07/17 22:00,44.2
01/07/17 22:10,43.2
01/07/17 22:20,43.1
01/07/17 22:30,44.7
01/07/17 22:40,42.9
01/07/17 22:50,42.3
01/07/17 23:00,44.9
01/07/17 23:10,47.4
01/07/17 23:20,48.1
01/07/17 23:30,49.9
01/07/17 23:40,49.1
01/07/17 23:50,53
02/07/17 00:00,58.3
02/07/17 00:10,58.9
02/07/17 00:20,58
02/07/17 00:30,57.3
02/07/17 00:40,57.5
02/07/17 00:50,58
02/07/17 01:00,58.9
02/07/17 01:10,61
02/07/17 01:20,59
02/07/17 01:30,60.5
02/07/17 01:40,63.6
02/07/17 01:50,66.4
02/07/17 02:00,67.7
02/07/17 02:10,69
02/07/17 02:20,70.2
02/07/17 02:30,69.3
02/07/17 02:40,64.8
02/07/17 02:50,63.4
02/07/17 03:00,63.3
02/07/17 03:10,62.1
02/07/17 03:20,61
02/07/17 03:30,59.6
02/07/17 03:40,59.3
02/07/17 03:50,59.5
02/07/17 04:00,58.8
02/07/17 04:10,58.1
02/07/17 04:20,56.7
02/07/17 04:30,55.3
02/07/17 04:40,57.1
02/07/17 04:50,59.3
02/07/17 05:00,59.9
02/07/17 05:10,57.9
02/07/17 05:20,60
02/07/17 05:30,
02/07/17 05:40,
02/07/17 05:50,
02/07/17 06:00,
02/07/17 06:10,
02/07/17 06:20,
02/07/17 06:30,
02/07/17 06:40,
02/07/17 06:50,
02/07/17 07:00,
02/07/17 07:10,
02/07/17 07:20,
02/07/17 07:30,
02/07/17 07:40,
02/07/17 07:50,
02/07/17 08:00,
02/07/17 08:10,
02/07/17 08:20,
02/07/17 08:30,
02/07/17 08:40,
02/07/17 08:50,
02/07/17 09:00,
02/07/17 09:10,
02/07/17 09:20,
02/07/17 09:30,
02/07/17 09:40,
02/07/17 09:50,18.3
02/07/17 10:00,36.3
02/07/17 10:10,42.9
02/07/17 10:20,45.7
02/07/17 10:30,47.8
02/07/17 10:40,48.2
02/07/17 10:50,49.2
02/07/17 11:00,51.8
02/07/17 11:10,52.9
02/07/17 11:20,52.7
02/07/17 11:30,51.2
02/07/17 11:40,51.4
02/07/17 11:50,52.7
02/07/17 12:00,55.5
02/07/17 12:10,56
02/07/17 12:20,55.8
02/07/17 12:30,56.9
02/07/17 12:40,60.9
02/07/17 12:50,63.2
02/07/17 13:00,60.4
02/07/17 13:10,58
02/07/17 13:20,55.5
02/07/17 13:30,57.8
02/07/17 13:40,56.1
02/07/17 13:50,55.8
02/07/17 14:00,54.3
02/07/17 14:10,54.2
02/07/17 14:20,54.5
02/07/17 14:30,53
02/07/17 14:40,52.9
02/07/17 14:50,51.7
02/07/17 15:00,49.3
02/07/17 15:10,49.9
02/07/17 15:20,53
02/07/17 15:30,54.4
02/07/17 15:40,56.4
02/07/17 15:50,58.8
02/07/17 16:00,56.9
02/07/17 16:10,55.8
02/07/17 16:20,55.3
02/07/17 16:30,54.6
02/07/17 16:40,53.7
02/07/17 16:50,55.3
02/07/17 17:00,56.5
02/07/17 17:10,55.8
02/07/17 17:20,56.2
02/07/17 17:30,60.1
02/07/17 17:40,63.3
02/07/17 17:50,63.7
02/07/17 18:00,64.3
02/07/17 18:10,62.4
02/07/17 18:20,58.6
02/07/17 18:30,55.1
02/07/17 18:40,50.9
02/07/17 18:50,51.1
02/07/17 19:00,51.5
02/07/17 19:10,51.4
02/07/17 19:20,50.7
02/07/17 19:30,51.2
02/07/17 19:40,50.6
02/07/17 19:50,50.1
02/07/17 20:00,50.6
02/07/17 20:10,51.9
02/07/17 20:20,50
02/07/17 20:30,50
